GID_0,NAME_1,NAME_2,onset_doy,cessation_doy,onset_minus_50,cessation_plus_50
GHA,Ahafo,Asunafo North,69,305,19,355
GHA,Ahafo,Asunafo South,65,305,15,355
GHA,Ahafo,Asutifi North,70,305,20,355
GHA,Ahafo,Asutifi South,59,304,9,354
GHA,Ahafo,Tano North,70,304,20,354
GHA,Ahafo,Tano South,70,305,20,355
GHA,Ashanti,Adansi Akrofuom,71,304,21,354
GHA,Ashanti,Afigya-Kwabre North,71,305,21,355
GHA,Ashanti,Afigya-Kwabre South,76,304,26,354
GHA,Ashanti,Ahafo-Ano North,66,304,16,354
GHA,Ashanti,Ahafo-Ano South East,71,304,21,354
GHA,Ashanti,Ahafo-Ano South West,66,304,16,354
GHA,Ashanti,Amansie Central,65,304,15,354
GHA,Ashanti,Amansie South,65,310,15,360
GHA,Ashanti,Asante-Akim Central,66,304,16,354
GHA,Ashanti,Asante-Akim North,66,305,16,355
GHA,Ashanti,Asante-Akim South,66,304,16,354
GHA,Ashanti,Asokore-Mampong,76,305,26,355
GHA,Ashanti,Asokwa,76,305,26,355
GHA,Ashanti,Atwima-Kwanwoma,65,305,15,355
GHA,Ashanti,Atwima-Mponua,65,305,15,355
GHA,Ashanti,Bekwai,66,305,16,355
GHA,Ashanti,Bosome Freho,66,305,16,355
GHA,Ashanti,Bosomtwe,66,305,16,355
GHA,Ashanti,Ejisu,66,304,16,354
GHA,Ashanti,Ejura-Sekyedumase,69,305,19,355
GHA,Ashanti,Juaben,66,304,16,354
GHA,Ashanti,Kumasi,76,305,26,355
GHA,Ashanti,Kwabre East,65,304,15,354
GHA,Ashanti,Kwadaso,70,305,20,355
GHA,Ashanti,Mampong,70,304,20,354
GHA,Ashanti,Obuasi,79,304,29,354
GHA,Ashanti,Offinso,71,305,21,355
GHA,Ashanti,Offinso North,70,305,20,355
GHA,Ashanti,Oforikrom,76,305,26,355
GHA,Ashanti,Old Tafo,71,305,21,355
GHA,Ashanti,Sekyere Afram Plains North,67,303,17,353
GHA,Ashanti,Sekyere Central,71,305,21,355
GHA,Ashanti,Sekyere East,66,304,16,354
GHA,Ashanti,Sekyere Kumawu,71,304,21,354
GHA,Ashanti,Sekyere South,76,304,26,354
GHA,Bono,Banda,90,302,40,352
GHA,Bono,Berekum East,68,303,18,353
GHA,Bono,Dormaa West,72,308,22,358
GHA,Bono,Jaman North,78,303,28,353
GHA,Bono,Jaman South,77,303,27,353
GHA,Bono,Sunyani,66,305,16,355
GHA,Bono,Tain,77,303,27,353
GHA,Bono,Wenchi,69,303,19,353
GHA,Bono East,Atebubu-Amantin,88,302,38,352
GHA,Bono East,Kintampo North,90,302,40,352
GHA,Bono East,Kintampo South,79,302,29,352
GHA,Bono East,Nkoranza North,69,302,19,352
GHA,Bono East,Nkoranza South,69,304,19,354
GHA,Bono East,Pru East,90,302,40,352
GHA,Bono East,Pru West,90,302,40,352
GHA,Bono East,Sene East,90,302,40,352
GHA,Bono East,Sene West,90,302,40,352
GHA,Bono East,Techiman,69,305,19,355
GHA,Bono East,Techiman North,69,303,19,353
GHA,Central,Upper Denkyira East,65,304,15,354
GHA,Central,Upper Denkyira West,71,311,21,361
GHA,Eastern,Abuakwa North,61,305,11,355
GHA,Eastern,Akwapem North,67,305,17,355
GHA,Eastern,Asuogyaman,67,305,17,355
GHA,Eastern,Atiwa East,66,304,16,354
GHA,Eastern,Birim North,66,304,16,354
GHA,Eastern,Fanteakwa North,66,304,16,354
GHA,Eastern,Fanteakwa South,61,304,11,354
GHA,Eastern,Kwahu Afram Plains North,89,304,39,354
GHA,Eastern,Kwahu Afram Plains South,67,304,17,354
GHA,Eastern,Kwahu East,66,304,16,354
GHA,Eastern,Kwahu South,67,304,17,354
GHA,Eastern,Kwahu West,67,304,17,354
GHA,Eastern,Lower Manya-Krobo,62,305,12,355
GHA,Eastern,New Juaben North,61,305,11,355
GHA,Eastern,New Juaben South,65,305,15,355
GHA,Eastern,Okere,65,305,15,355
GHA,Eastern,Upper Manya,61,305,11,355
GHA,Eastern,Yilo-Krobo,61,305,11,355
GHA,Greater Accra,Ablekuma Central,72,191,22,241
GHA,Greater Accra,Ablekuma West,72,191,22,241
GHA,Greater Accra,Accra,72,191,22,241
GHA,Greater Accra,Ada East,71,199,21,249
GHA,Greater Accra,Ada West,71,186,21,236
GHA,Greater Accra,Adenta,67,186,17,236
GHA,Greater Accra,Ashaiman,67,186,17,236
GHA,Greater Accra,Ayawaso West,84,186,34,236
GHA,Greater Accra,Ga East,72,186,22,236
GHA,Greater Accra,Korle-Klottey,72,191,22,241
GHA,Greater Accra,Kpone-Katamanso,67,191,17,241
GHA,Greater Accra,La-Dade-Kotopon,84,191,34,241
GHA,Greater Accra,Ledzokuku,88,187,38,237
GHA,Greater Accra,Ningo-Prampram,67,186,17,236
