GID_0,NAME_1,NAME_2,year,onset_doy,cessation_doy,season_length
GHA,Ahafo,Asunafo North,1995,67,308,241
GHA,Ahafo,Asunafo North,1996,69,201,132
GHA,Ahafo,Asunafo North,1997,81,183,102
GHA,Ahafo,Asunafo North,1998,91,179,88
GHA,Ahafo,Asunafo North,1999,57,302,245
GHA,Ahafo,Asunafo North,2000,76,213,137
GHA,Ahafo,Asunafo North,2001,73,196,123
GHA,Ahafo,Asunafo North,2002,92,316,224
GHA,Ahafo,Asunafo North,2003,84,321,237
GHA,Ahafo,Asunafo North,2004,243,325,82
GHA,Ahafo,Asunafo North,2005,91,311,220
GHA,Ahafo,Asunafo North,2006,62,309,247
GHA,Ahafo,Asunafo North,2007,75,303,228
GHA,Ahafo,Asunafo North,2008,61,303,242
GHA,Ahafo,Asunafo North,2009,56,190,134
GHA,Ahafo,Asunafo North,2010,45,317,272
GHA,Ahafo,Asunafo North,2011,52,298,246
GHA,Ahafo,Asunafo North,2012,263,331,68
GHA,Ahafo,Asunafo North,2013,264,19,-245
GHA,Ahafo,Asunafo North,2014,72,197,125
GHA,Ahafo,Asunafo North,2015,356,194,-162
GHA,Ahafo,Asunafo North,2016,239,287,48
GHA,Ahafo,Asunafo North,2017,78,310,232
GHA,Ahafo,Asunafo North,2018,55,298,243
GHA,Ahafo,Asunafo North,2019,92,309,217
GHA,Ahafo,Asunafo North,2020,68,193,125
GHA,Ahafo,Asunafo North,2021,63,325,262
GHA,Ahafo,Asunafo North,2022,85,318,233
GHA,Ahafo,Asunafo North,2023,97,303,206
GHA,Ahafo,Asunafo North,2024,60,303,243
GHA,Ahafo,Asunafo South,1995,67,303,236
GHA,Ahafo,Asunafo South,1996,69,216,147
GHA,Ahafo,Asunafo South,1997,81,183,102
GHA,Ahafo,Asunafo South,1998,90,179,89
GHA,Ahafo,Asunafo South,1999,58,302,244
GHA,Ahafo,Asunafo South,2000,85,190,105
GHA,Ahafo,Asunafo South,2001,72,196,124
GHA,Ahafo,Asunafo South,2002,92,316,224
GHA,Ahafo,Asunafo South,2003,84,321,237
GHA,Ahafo,Asunafo South,2004,243,303,60
GHA,Ahafo,Asunafo South,2005,266,310,44
GHA,Ahafo,Asunafo South,2006,62,309,247
GHA,Ahafo,Asunafo South,2007,75,303,228
GHA,Ahafo,Asunafo South,2008,61,291,230
GHA,Ahafo,Asunafo South,2009,84,191,107
GHA,Ahafo,Asunafo South,2010,42,317,275
GHA,Ahafo,Asunafo South,2011,52,298,246
GHA,Ahafo,Asunafo South,2012,263,331,68
GHA,Ahafo,Asunafo South,2013,264,15,-249
GHA,Ahafo,Asunafo South,2014,72,197,125
GHA,Ahafo,Asunafo South,2015,356,194,-162
GHA,Ahafo,Asunafo South,2016,232,288,56
GHA,Ahafo,Asunafo South,2017,79,187,108
GHA,Ahafo,Asunafo South,2018,55,196,141
GHA,Ahafo,Asunafo South,2019,88,318,230
GHA,Ahafo,Asunafo South,2020,68,193,125
GHA,Ahafo,Asunafo South,2021,63,322,259
GHA,Ahafo,Asunafo South,2022,85,313,228
GHA,Ahafo,Asunafo South,2023,64,311,247
GHA,Ahafo,Asunafo South,2024,60,309,249
GHA,Ahafo,Asutifi North,1995,59,306,247
GHA,Ahafo,Asutifi North,1996,63,300,237
GHA,Ahafo,Asutifi North,1997,81,183,102
GHA,Ahafo,Asutifi North,1998,90,299,209
GHA,Ahafo,Asutifi North,1999,58,309,251
GHA,Ahafo,Asutifi North,2000,76,213,137
GHA,Ahafo,Asutifi North,2001,73,192,119
GHA,Ahafo,Asutifi North,2002,92,313,221
GHA,Ahafo,Asutifi North,2003,96,319,223
GHA,Ahafo,Asutifi North,2004,243,303,60
GHA,Ahafo,Asutifi North,2005,91,310,219
GHA,Ahafo,Asutifi North,2006,63,296,233
GHA,Ahafo,Asutifi North,2007,75,300,225
GHA,Ahafo,Asutifi North,2008,60,291,231
GHA,Ahafo,Asutifi North,2009,56,192,136
GHA,Ahafo,Asutifi North,2010,104,305,201
GHA,Ahafo,Asutifi North,2011,52,298,246
GHA,Ahafo,Asutifi North,2012,263,331,68
GHA,Ahafo,Asutifi North,2013,264,20,-244
GHA,Ahafo,Asutifi North,2014,72,197,125
GHA,Ahafo,Asutifi North,2015,264,194,-70
GHA,Ahafo,Asutifi North,2016,239,290,51
GHA,Ahafo,Asutifi North,2017,78,310,232
GHA,Ahafo,Asutifi North,2018,51,298,247
GHA,Ahafo,Asutifi North,2019,92,308,216
GHA,Ahafo,Asutifi North,2020,68,293,225
GHA,Ahafo,Asutifi North,2021,133,325,192
GHA,Ahafo,Asutifi North,2022,90,318,228
GHA,Ahafo,Asutifi North,2023,97,316,219
GHA,Ahafo,Asutifi North,2024,60,303,243
GHA,Ahafo,Asutifi South,1995,59,306,247
GHA,Ahafo,Asutifi South,1996,69,201,132
GHA,Ahafo,Asutifi South,1997,81,183,102
GHA,Ahafo,Asutifi South,1998,91,9,-82
GHA,Ahafo,Asutifi South,1999,58,309,251
GHA,Ahafo,Asutifi South,2000,76,213,137
GHA,Ahafo,Asutifi South,2001,72,192,120
GHA,Ahafo,Asutifi South,2002,92,315,223
GHA,Ahafo,Asutifi South,2003,84,321,237
GHA,Ahafo,Asutifi South,2004,243,303,60
GHA,Ahafo,Asutifi South,2005,56,310,254
GHA,Ahafo,Asutifi South,2006,60,308,248
GHA,Ahafo,Asutifi South,2007,75,303,228
GHA,Ahafo,Asutifi South,2008,60,291,231
GHA,Ahafo,Asutifi South,2009,43,192,149
GHA,Ahafo,Asutifi South,2010,42,310,268
GHA,Ahafo,Asutifi South,2011,52,298,246
GHA,Ahafo,Asutifi South,2012,263,331,68
GHA,Ahafo,Asutifi South,2013,241,9,-232
GHA,Ahafo,Asutifi South,2014,71,197,126
GHA,Ahafo,Asutifi South,2015,355,194,-161
GHA,Ahafo,Asutifi South,2016,232,291,59
GHA,Ahafo,Asutifi South,2017,78,187,109
GHA,Ahafo,Asutifi South,2018,51,195,144
GHA,Ahafo,Asutifi South,2019,88,308,220
GHA,Ahafo,Asutifi South,2020,68,192,124
GHA,Ahafo,Asutifi South,2021,63,322,259
GHA,Ahafo,Asutifi South,2022,98,318,220
GHA,Ahafo,Asutifi South,2023,64,303,239
GHA,Ahafo,Asutifi South,2024,60,303,243
GHA,Ahafo,Tano North,1995,59,308,249
GHA,Ahafo,Tano North,1996,69,300,231
GHA,Ahafo,Tano North,1997,80,183,103
GHA,Ahafo,Tano North,1998,355,184,-171
GHA,Ahafo,Tano North,1999,58,302,244
GHA,Ahafo,Tano North,2000,84,216,132
GHA,Ahafo,Tano North,2001,72,192,120
GHA,Ahafo,Tano North,2002,67,313,246
GHA,Ahafo,Tano North,2003,96,319,223
GHA,Ahafo,Tano North,2004,243,284,41
GHA,Ahafo,Tano North,2005,59,310,251
GHA,Ahafo,Tano North,2006,63,299,236
GHA,Ahafo,Tano North,2007,75,300,225
GHA,Ahafo,Tano North,2008,60,291,231
GHA,Ahafo,Tano North,2009,56,192,136
GHA,Ahafo,Tano North,2010,104,305,201
GHA,Ahafo,Tano North,2011,53,298,245
GHA,Ahafo,Tano North,2012,262,330,68
GHA,Ahafo,Tano North,2013,241,20,-221
GHA,Ahafo,Tano North,2014,72,197,125
GHA,Ahafo,Tano North,2015,263,20,-243
GHA,Ahafo,Tano North,2016,239,290,51
GHA,Ahafo,Tano North,2017,79,187,108
GHA,Ahafo,Tano North,2018,51,290,239
GHA,Ahafo,Tano North,2019,92,308,216
GHA,Ahafo,Tano North,2020,68,180,112
GHA,Ahafo,Tano North,2021,133,322,189
GHA,Ahafo,Tano North,2022,85,292,207
GHA,Ahafo,Tano North,2023,102,314,212
GHA,Ahafo,Tano North,2024,60,303,243
GHA,Ahafo,Tano South,1995,67,313,246
GHA,Ahafo,Tano South,1996,69,300,231
GHA,Ahafo,Tano South,1997,81,170,89
GHA,Ahafo,Tano South,1998,356,184,-172
GHA,Ahafo,Tano South,1999,58,309,251
GHA,Ahafo,Tano South,2000,76,216,140
GHA,Ahafo,Tano South,2001,72,192,120
GHA,Ahafo,Tano South,2002,67,313,246
GHA,Ahafo,Tano South,2003,84,319,235
GHA,Ahafo,Tano South,2004,239,284,45
GHA,Ahafo,Tano South,2005,63,310,247
GHA,Ahafo,Tano South,2006,63,299,236
GHA,Ahafo,Tano South,2007,75,301,226
GHA,Ahafo,Tano South,2008,60,291,231
GHA,Ahafo,Tano South,2009,58,192,134
GHA,Ahafo,Tano South,2010,42,305,263
GHA,Ahafo,Tano South,2011,53,304,251
GHA,Ahafo,Tano South,2012,262,331,69
GHA,Ahafo,Tano South,2013,241,20,-221
GHA,Ahafo,Tano South,2014,72,197,125
GHA,Ahafo,Tano South,2015,356,20,-336
GHA,Ahafo,Tano South,2016,239,290,51
GHA,Ahafo,Tano South,2017,78,187,109
GHA,Ahafo,Tano South,2018,55,290,235
GHA,Ahafo,Tano South,2019,88,301,213
GHA,Ahafo,Tano South,2020,68,182,114
GHA,Ahafo,Tano South,2021,133,322,189
GHA,Ahafo,Tano South,2022,85,292,207
GHA,Ahafo,Tano South,2023,102,303,201
GHA,Ahafo,Tano South,2024,60,303,243
GHA,Ashanti,Adansi Akrofuom,1995,61,185,124
GHA,Ashanti,Adansi Akrofuom,1996,72,195,123
GHA,Ashanti,Adansi Akrofuom,1997,81,183,102
GHA,Ashanti,Adansi Akrofuom,1998,355,202,-153
GHA,Ashanti,Adansi Akrofuom,1999,59,307,248
GHA,Ashanti,Adansi Akrofuom,2000,75,190,115
GHA,Ashanti,Adansi Akrofuom,2001,73,186,113
GHA,Ashanti,Adansi Akrofuom,2002,97,222,125
GHA,Ashanti,Adansi Akrofuom,2003,84,323,239
GHA,Ashanti,Adansi Akrofuom,2004,117,302,185
GHA,Ashanti,Adansi Akrofuom,2005,267,310,43
GHA,Ashanti,Adansi Akrofuom,2006,104,310,206
GHA,Ashanti,Adansi Akrofuom,2007,75,306,231
GHA,Ashanti,Adansi Akrofuom,2008,60,316,256
GHA,Ashanti,Adansi Akrofuom,2009,65,191,126
GHA,Ashanti,Adansi Akrofuom,2010,42,325,283
GHA,Ashanti,Adansi Akrofuom,2011,44,305,261
GHA,Ashanti,Adansi Akrofuom,2012,262,184,-78
GHA,Ashanti,Adansi Akrofuom,2013,355,169,-186
GHA,Ashanti,Adansi Akrofuom,2014,101,197,96
GHA,Ashanti,Adansi Akrofuom,2015,355,196,-159
GHA,Ashanti,Adansi Akrofuom,2016,65,310,245
GHA,Ashanti,Adansi Akrofuom,2017,79,187,108
GHA,Ashanti,Adansi Akrofuom,2018,105,191,86
GHA,Ashanti,Adansi Akrofuom,2019,88,318,230
