GID_0,NAME_1,NAME_2,window_size,threshold_percentage,count_over_threshold,percent_over_threshold,count_valid_years
GHA,Ahafo,Asunafo North,2,40,0,0.0,30
GHA,Ahafo,Asunafo North,2,45,0,0.0,30
GHA,Ahafo,Asunafo North,2,50,0,0.0,30
GHA,Ahafo,Asunafo North,2,55,0,0.0,30
GHA,Ahafo,Asunafo North,2,60,0,0.0,30
GHA,Ahafo,Asunafo North,2,65,0,0.0,30
GHA,Ahafo,Asunafo North,2,70,0,0.0,30
GHA,Ahafo,Asunafo North,2,75,0,0.0,30
GHA,Ahafo,Asunafo North,2,80,0,0.0,30
GHA,Ahafo,Asunafo North,2,85,0,0.0,30
GHA,Ahafo,Asunafo North,2,90,0,0.0,30
GHA,Ahafo,Asunafo North,3,40,18,60.0,30
GHA,Ahafo,Asunafo North,3,45,5,16.666666666666664,30
GHA,Ahafo,Asunafo North,3,50,1,3.3333333333333335,30
GHA,Ahafo,Asunafo North,3,55,0,0.0,30
GHA,Ahafo,Asunafo North,3,60,0,0.0,30
GHA,Ahafo,Asunafo North,3,65,0,0.0,30
GHA,Ahafo,Asunafo North,3,70,0,0.0,30
GHA,Ahafo,Asunafo North,3,75,0,0.0,30
GHA,Ahafo,Asunafo North,3,80,0,0.0,30
GHA,Ahafo,Asunafo North,3,85,0,0.0,30
GHA,Ahafo,Asunafo North,3,90,0,0.0,30
GHA,Ahafo,Asunafo North,4,40,30,100.0,30
GHA,Ahafo,Asunafo North,4,45,29,96.66666666666667,30
GHA,Ahafo,Asunafo North,4,50,16,53.333333333333336,30
GHA,Ahafo,Asunafo North,4,55,8,26.666666666666668,30
GHA,Ahafo,Asunafo North,4,60,2,6.666666666666667,30
GHA,Ahafo,Asunafo North,4,65,0,0.0,30
GHA,Ahafo,Asunafo North,4,70,0,0.0,30
GHA,Ahafo,Asunafo North,4,75,0,0.0,30
GHA,Ahafo,Asunafo North,4,80,0,0.0,30
GHA,Ahafo,Asunafo North,4,85,0,0.0,30
GHA,Ahafo,Asunafo North,4,90,0,0.0,30
GHA,Ahafo,Asunafo North,5,40,30,100.0,30
GHA,Ahafo,Asunafo North,5,45,30,100.0,30
GHA,Ahafo,Asunafo North,5,50,30,100.0,30
GHA,Ahafo,Asunafo North,5,55,26,86.66666666666667,30
GHA,Ahafo,Asunafo North,5,60,14,46.666666666666664,30
GHA,Ahafo,Asunafo North,5,65,4,13.333333333333334,30
GHA,Ahafo,Asunafo North,5,70,0,0.0,30
GHA,Ahafo,Asunafo North,5,75,0,0.0,30
GHA,Ahafo,Asunafo North,5,80,0,0.0,30
GHA,Ahafo,Asunafo North,5,85,0,0.0,30
GHA,Ahafo,Asunafo North,5,90,0,0.0,30
GHA,Ahafo,Asunafo North,6,40,30,100.0,30
GHA,Ahafo,Asunafo North,6,45,30,100.0,30
GHA,Ahafo,Asunafo North,6,50,30,100.0,30
GHA,Ahafo,Asunafo North,6,55,30,100.0,30
GHA,Ahafo,Asunafo North,6,60,29,96.66666666666667,30
GHA,Ahafo,Asunafo North,6,65,28,93.33333333333333,30
GHA,Ahafo,Asunafo North,6,70,14,46.666666666666664,30
GHA,Ahafo,Asunafo North,6,75,2,6.666666666666667,30
GHA,Ahafo,Asunafo North,6,80,0,0.0,30
GHA,Ahafo,Asunafo North,6,85,0,0.0,30
GHA,Ahafo,Asunafo North,6,90,0,0.0,30
GHA,Ahafo,Asunafo North,7,40,30,100.0,30
GHA,Ahafo,Asunafo North,7,45,30,100.0,30
GHA,Ahafo,Asunafo North,7,50,30,100.0,30
GHA,Ahafo,Asunafo North,7,55,30,100.0,30
GHA,Ahafo,Asunafo North,7,60,30,100.0,30
GHA,Ahafo,Asunafo North,7,65,30,100.0,30
GHA,Ahafo,Asunafo North,7,70,30,100.0,30
GHA,Ahafo,Asunafo North,7,75,28,93.33333333333333,30
GHA,Ahafo,Asunafo North,7,80,17,56.666666666666664,30
GHA,Ahafo,Asunafo North,7,85,5,16.666666666666664,30
GHA,Ahafo,Asunafo North,7,90,0,0.0,30
GHA,Ahafo,Asunafo North,8,40,30,100.0,30
GHA,Ahafo,Asunafo North,8,45,30,100.0,30
GHA,Ahafo,Asunafo North,8,50,30,100.0,30
GHA,Ahafo,Asunafo North,8,55,30,100.0,30
GHA,Ahafo,Asunafo North,8,60,30,100.0,30
GHA,Ahafo,Asunafo North,8,65,30,100.0,30
GHA,Ahafo,Asunafo North,8,70,30,100.0,30
GHA,Ahafo,Asunafo North,8,75,30,100.0,30
GHA,Ahafo,Asunafo North,8,80,29,96.66666666666667,30
GHA,Ahafo,Asunafo North,8,85,27,90.0,30
GHA,Ahafo,Asunafo North,8,90,18,60.0,30
GHA,Ahafo,Asunafo South,2,40,0,0.0,30
GHA,Ahafo,Asunafo South,2,45,0,0.0,30
GHA,Ahafo,Asunafo South,2,50,0,0.0,30
GHA,Ahafo,Asunafo South,2,55,0,0.0,30
GHA,Ahafo,Asunafo South,2,60,0,0.0,30
GHA,Ahafo,Asunafo South,2,65,0,0.0,30
GHA,Ahafo,Asunafo South,2,70,0,0.0,30
GHA,Ahafo,Asunafo South,2,75,0,0.0,30
GHA,Ahafo,Asunafo South,2,80,0,0.0,30
GHA,Ahafo,Asunafo South,2,85,0,0.0,30
GHA,Ahafo,Asunafo South,2,90,0,0.0,30
GHA,Ahafo,Asunafo South,3,40,18,60.0,30
GHA,Ahafo,Asunafo South,3,45,4,13.333333333333334,30
GHA,Ahafo,Asunafo South,3,50,3,10.0,30
GHA,Ahafo,Asunafo South,3,55,0,0.0,30
GHA,Ahafo,Asunafo South,3,60,0,0.0,30
GHA,Ahafo,Asunafo South,3,65,0,0.0,30
GHA,Ahafo,Asunafo South,3,70,0,0.0,30
GHA,Ahafo,Asunafo South,3,75,0,0.0,30
GHA,Ahafo,Asunafo South,3,80,0,0.0,30
GHA,Ahafo,Asunafo South,3,85,0,0.0,30
GHA,Ahafo,Asunafo South,3,90,0,0.0,30
GHA,Ahafo,Asunafo South,4,40,30,100.0,30
GHA,Ahafo,Asunafo South,4,45,29,96.66666666666667,30
GHA,Ahafo,Asunafo South,4,50,20,66.66666666666666,30
GHA,Ahafo,Asunafo South,4,55,10,33.33333333333333,30
GHA,Ahafo,Asunafo South,4,60,2,6.666666666666667,30
GHA,Ahafo,Asunafo South,4,65,0,0.0,30
